,No,IP,EA,BG
164,4C61_3,5.883074100000001,4.2401343,1.6429398000000006
165,4C61_4,5.8588572,4.3593141,1.4995431000000006
166,4C61_5,5.829198300000001,4.2123801,1.6168182
167,4C61_6,5.8642992,4.2463926,1.6179065999999998
168,4C61_7,5.8588572,4.2104754,1.6483818000000006
169,4C61_8,5.899128,4.2197268,1.6794012
170,4C61_9,5.8207632,4.2648953999999994,1.5558678000000004
171,4C62_1,6.2340831,4.0613646,2.1727185
172,4C62_10,5.8925976,3.7840947000000003,2.1085029
173,4C62_2,6.1913634,4.0338825,2.1574809
174,4C62_3,6.108645,3.9269472000000003,2.1816978000000002
175,4C62_4,5.998444500000001,4.0012305,1.9972140000000007
176,4C62_5,6.0936795,3.9337497000000003,2.1599298000000005
177,4C62_6,6.2114988,4.0292568,2.1822420000000005
178,4C62_7,6.1535415,4.0559226,2.0976189
179,4C62_8,6.1061961,3.9095328,2.1966633
180,4C62_9,6.161704500000001,4.1517018,2.0100027000000007
181,4C72_1,5.882802,4.1214987,1.7613033000000002
182,4C72_2,5.8297425,4.0586436,1.7710989000000004
183,4C72_3,5.7769551,3.9655854,1.8113696999999997
184,4C72_4,5.6583195,4.0692555,1.5890640000000003
185,4C72_5,5.9135493,4.2515625,1.6619868
186,4C72_6,5.6561427,3.8542965000000002,1.8018462000000002
187,4C72_7,5.9905536,4.2553719,1.7351816999999998
188,4C72_8,5.8308309000000005,4.127212800000001,1.7036181000000001
189,4C72_9,5.9007606,4.227617700000001,1.6731428999999998
190,4C73_1,5.9276985,3.6483168000000004,2.2793816999999996
191,4C73_2,5.9603505,3.7367493000000005,2.2236011999999996
192,4C73_3,6.1361270999999995,4.149525,1.9866020999999998
193,4C73_4,6.1568067,3.9313008000000003,2.2255059
194,4C73_5,6.150004200000001,3.9753810000000005,2.1746231999999996
195,4C73_6,5.543765400000001,3.7152534,1.8285120000000004
196,4C73_7,5.9464734,3.855657,2.0908164000000005
197,4C73_8,5.9203518,3.5949852,2.3253666
198,4C73_9,-0.0,-0.0,0.0
199,4C77_1,6.1935402,4.0991865,2.0943536999999997
200,4C77_2,6.061299600000001,3.7590615,2.3022381000000007
201,4C77_3,5.9440245,3.6537588000000003,2.2902657
202,4C77_4,6.043068900000001,3.7541637000000003,2.2889052
203,4C77_5,5.9600784,3.6347118000000003,2.3253666
204,4C77_6,5.8917813,3.4975734,2.3942079000000005
205,4C77_7,6.1633371,4.014835499999999,2.1485016000000003
206,4C77_8,6.103203000000001,3.8496708,2.2535322
207,4C77_9,6.1045635,3.7525311,2.3520323999999997
208,511_1,5.944840800000001,3.1220754,2.8227654000000006
209,511_10,5.8947744,3.0796278000000004,2.8151466
210,511_11,5.945385,3.2573091,2.6880759000000003
211,511_12,6.0213009,3.2698257,2.7514752
212,511_2,6.0003492,3.314178,2.6861712
213,511_3,5.9451129,3.1139124000000002,2.8312005
214,511_4,5.9407593,3.1041168,2.8366425
215,511_5,5.901849,3.2374458,2.6644032
216,511_6,5.8857951,3.0627576,2.8230375000000003
217,511_7,5.9219844,3.153639,2.7683454
218,511_8,5.9056584,3.1054773,2.8001811000000005
219,511_9,5.9312358000000005,3.0793557000000003,2.8518801000000003
220,55_1,6.3184341,2.7634476,3.5549864999999996
221,55_10,6.3257808,2.8197723,3.5060085
222,55_11,6.3445557,3.0399012,3.3046545
223,55_2,6.4631913,2.9824881,3.4807031999999993
224,55_3,6.23109,2.4807357000000003,3.7503543
225,55_4,6.175309500000001,2.9106537,3.2646558000000008
226,55_5,6.444688500000001,2.8627641,3.5819244
227,55_6,6.3878196,2.6902527000000003,3.6975669000000004
228,55_7,6.3606096,2.7814062,3.5792034
229,55_8,6.3323112,2.9199051000000003,3.4124061000000006
230,55_9,6.4226484,2.8526964,3.569952
231,62_1,5.6757339,3.5413815,2.1343524000000005
232,62_10,5.5995459,3.3253341,2.2742118000000002
233,62_11,5.6191371000000006,3.4396161,2.1795210000000003
234,62_12,5.5179159,3.2385342,2.2793817
235,62_2,5.5720638,3.3612513,2.2108125
236,62_3,5.580771,3.420297,2.1604740000000002
237,62_4,5.6373678,3.3743121,2.2630557000000002
238,62_5,5.5829478,3.4224738,2.1604740000000002
239,62_6,5.6438982,3.5016549,2.1422433
240,62_7,5.5200927,3.3179874000000003,2.2021053
241,62_8,5.5160112,3.2347248,2.2812864000000004
242,62_9,5.569887,3.2866959,2.2831911000000003
243,72_1,5.3600979,3.5163483,1.8437495999999998
244,72_10,5.2371087,3.371319,1.8657897000000003
245,72_11,5.2398297,3.3748563000000003,1.8649733999999998
246,72_12,5.4273066000000005,3.6774315,1.7498751000000001
247,72_2,5.2169733,3.3884613000000003,1.8285120000000004
248,72_3,5.2907124,3.4472349,1.8434775
249,72_4,5.3503023,3.5699520000000002,1.7803502999999998
250,72_5,5.311392000000001,3.4866894000000004,1.8247026000000004
251,72_6,5.286903000000001,3.4899546000000004,1.7969483999999998
252,72_7,5.2969707,3.4249227,1.8720480000000002
253,72_8,5.2716654,3.4845126000000004,1.7871527999999997
254,72_9,5.300508,3.5076411,1.7928669000000002
255,73_1,5.689611,3.4956687,2.1939423000000002
256,73_10,5.523630000000001,3.1928214,2.3308086000000006
257,73_11,5.507031899999999,3.1661556,2.3408762999999997
258,73_2,5.5715196,3.2785329,2.2929867
259,73_3,5.4727473,3.1680603,2.304687
260,73_4,5.5851246,3.3073755000000005,2.2777491
261,73_5,5.5151949,3.2532276,2.2619673000000002
262,73_6,5.5271673,3.1884678,2.3386995
263,73_7,5.5764174,3.2358132,2.3406042000000005
264,73_8,5.5682544,3.2627511,2.3055033
265,73_9,5.3826822,3.0203100000000003,2.3623722
266,75_1,5.5606356,3.5106342,2.0500014000000006
267,75_10,5.3742471,3.2344527000000003,2.1397943999999995
268,75_11,5.4618633,3.3402996,2.1215637
269,75_12,5.463768,3.322341,2.141427
270,75_2,5.5494795,3.4292763,2.1202031999999997
271,75_3,5.4950595,3.3340413,2.1610182
272,75_4,5.5489353,3.4709076000000003,2.0780277
273,75_5,5.3334321,3.1403061,2.193126
274,75_6,5.5138343999999995,3.3266945999999997,2.1871397999999997
275,75_7,5.523357900000001,3.4368951,2.0864628
276,75_8,5.5102971,3.3890055,2.1212916
277,75_9,5.2980591,3.1569042,2.1411549
278,76_1,5.5600914,3.131871,2.4282204000000003
279,76_10,5.6858016000000005,3.1710534000000004,2.5147482
280,76_11,5.602539,3.3299598,2.2725792
281,76_12,5.7271608,3.2113242,2.5158366
282,76_2,5.6221302,3.1359525,2.4861777
283,76_3,5.6267559,3.3539046,2.2728513
284,76_4,5.6338305,3.0891513,2.5446792
285,76_5,5.6455308,3.3041103,2.3414205
286,76_6,5.7179094,3.1759512,2.5419582
287,76_7,5.6365515,3.0774510000000004,2.5591005
288,76_8,5.6906994,3.2028891,2.4878103
289,76_9,5.543765400000001,3.0872466000000003,2.4565188
290,77_1,5.6055321000000005,3.1803048,2.4252273
291,77_10,5.624034900000001,3.2314596000000004,2.3925753000000003
292,77_11,5.6485239,3.2970357,2.3514882
293,77_2,5.664033600000001,3.3718632,2.2921704000000003
294,77_3,5.5353303,3.1748628,2.3604675
295,77_4,5.4999573,3.1272453000000002,2.372712
296,77_5,5.5176438,3.1079262,2.4097175999999996
297,77_6,5.5570983,3.257037,2.3000613
298,77_7,5.5693428,3.1239801,2.4453627000000004
299,77_8,5.6019948,3.1835700000000005,2.4184248
300,77_9,5.6716524,3.3239736000000004,2.3476787999999997
