,No,smiles
56,3C61_6,c1cc2cc3c(C#N)c4c(C#N)c5c(C#N)c6c(cccc6)cc5cc4cc3cc2cc1
57,3C61_7,c1cc2cc3c(C#N)c4cc5cc6c(cc(C#N)cc6)cc5cc4c(C#N)c3cc2cc1
58,3C61_8,c1c(C#N)c2c(C#N)c3cc4cc5cc6c(cc(C#N)cc6)cc5cc4cc3cc2cc1
59,3C61_9,c1c(C#N)c2cc3cc4cc5cc6c(cccc6)cc5cc4cc3c(C#N)c2c(C#N)c1
60,3C62_1,c1cc2c(c(C#N)c1)cc1cc3cc4c(ccc5c4c(C#N)ccc5)cc3c(C#N)c1c2
61,3C62_10,c1c(C#N)c2c(c(C#N)c1C#N)cc1cc3cc4c(ccc5c4cccc5)cc3cc1c2
62,3C62_2,c1c(C#N)c2c(cc1)cc1c(C#N)c3cc4c(ccc5c4ccc(C#N)c5)cc3cc1c2
63,3C62_3,c1cc2c(c(C#N)c1C#N)cc1cc3cc4c(ccc5c4cc(C#N)cc5)cc3cc1c2
64,3C62_4,c1c(C#N)c2c(cc1)cc1cc3cc4c(cc(C#N)c5c4cccc5)c(C#N)c3cc1c2
65,3C62_5,c1cc2c(cc1C#N)cc1cc3cc4c(cc(C#N)c5c4cccc5)cc3c(C#N)c1c2
66,3C62_6,c1cc2c(cc1C#N)cc1cc3cc4c(ccc5c4cc(C#N)cc5)c(C#N)c3cc1c2
67,3C62_7,c1c(C#N)c2c(cc1)cc1cc3cc4c(cc(C#N)c5c4cccc5)cc3c(C#N)c1c2
68,3C62_8,c1cc2c(cc1)cc1cc3cc4c(c(C#N)cc5c4ccc(C#N)c5)c(C#N)c3cc1c2
69,3C62_9,c1(C#N)c(C#N)c2c(cc1)cc1cc3cc4c(ccc5c4cccc5)c(C#N)c3cc1c2
70,3C71_1,c1cc2c(cc1)cc1c(C#N)c3cc4cc5c(ccc6c5c(C#N)c(C#N)cc6)cc4cc3cc1c2
71,3C71_10,c1cc2c(cc1C#N)cc1c(c3cc4cc5c(ccc6c5cccc6)cc4cc3c(c1c2)C#N)C#N
72,3C71_2,c1(C#N)cc2c(cc1)cc1cc3c(C#N)c4cc5c(ccc6c5cccc6)cc4cc3c(C#N)c1c2
73,3C71_3,c1cc2c(cc1C#N)cc1cc3c(C#N)c4cc5c(ccc6c5cccc6)cc4c(C#N)c3cc1c2
74,3C71_4,c1cc2c(cc1C#N)cc1cc3cc4cc5c(ccc6c5ccc(C#N)c6C#N)cc4cc3cc1c2
75,3C71_5,c1cc2c(c(C#N)c1)cc1cc3cc4cc5c(c(C#N)cc6c5cccc6)cc4c(C#N)c3cc1c2
76,3C71_6,c1cc2c(cc1)cc1cc3cc4cc5c(cc(C#N)c6c5cc(C#N)cc6)c(C#N)c4cc3cc1c2
77,3C71_7,c1(C#N)cc2c(cc1)cc1c(C#N)c3cc4cc5c(ccc6c5cccc6)cc4cc3c(C#N)c1c2
78,3C71_8,c1(C#N)cc2c(cc1)cc1cc3cc4cc5c(ccc6c5ccc(C#N)c6)cc4cc3c(C#N)c1c2
79,3C71_9,c1(C#N)cc2c(cc1C#N)cc1cc3cc4cc5c(ccc6c5cccc6)cc4cc3c(C#N)c1c2
80,3C73_1,c1cc2cc3c(cc2cc1C#N)c1cc2cc4cc5ccccc5c(C#N)c4c(C#N)c2cc1cc3
81,3C73_10,c1cc2cc3c(cc2cc1)c1cc2cc4c(C#N)c5ccccc5c(C#N)c4cc2cc1c(C#N)c3
82,3C73_2,c1cc2cc3c(cc2c(C#N)c1C#N)c1cc2cc4cc5ccccc5c(C#N)c4cc2cc1cc3
83,3C73_3,c1cc2cc3c(c(C#N)c2cc1)c1cc2cc4cc5cc(C#N)ccc5cc4cc2cc1c(C#N)c3
84,3C73_4,c1cc2cc3c(cc2cc1)c1cc2cc4cc5c(C#N)cccc5c(C#N)c4cc2cc1c(C#N)c3
85,3C73_5,c1cc2cc3c(cc2cc1)c1cc2cc4c(C#N)c5c(C#N)cccc5cc4cc2cc1c(C#N)c3
86,3C73_6,c1cc2cc3c(cc2cc1)c1cc2cc4c(C#N)c5cccc(C#N)c5cc4cc2c(C#N)c1cc3
87,3C73_7,c1cc2cc3c(cc2cc1)c1c(C#N)c2cc4cc5c(C#N)c(C#N)ccc5cc4cc2cc1cc3
88,3C73_8,c1(C#N)c(C#N)c2cc3c(cc2cc1)c1cc2cc4c(C#N)c5ccccc5cc4cc2cc1cc3
89,3C73_9,c1cc2cc3c(cc2cc1)c1cc2cc4cc5cc(C#N)c(C#N)cc5cc4cc2cc1c(C#N)c3
90,3C77_1,c1c(C#N)c2c(cc1)c1cc3cc4c(C#N)c5c(ccc6ccccc56)cc4c(C#N)c3cc1cc2
91,3C77_10,c1cc2c(cc1)c1cc3cc4cc5c(c(C#N)cc6c(C#N)cccc56)cc4cc3cc1c(C#N)c2
92,3C77_2,c1cc2c(c(C#N)c1C#N)c1cc3cc4cc5c(c(C#N)cc6ccccc56)cc4cc3cc1cc2
93,3C77_3,c1c(C#N)c2c(cc1C#N)c1cc3c(C#N)c4cc5c(ccc6ccccc56)cc4cc3cc1cc2
94,3C77_4,c1cc2c(cc1)c1cc3cc4cc5c(ccc6cc(C#N)ccc56)cc4c(C#N)c3cc1c(C#N)c2
95,3C77_5,c1cc2c(cc1)c1cc3cc4cc5c(c(C#N)c(C#N)c6cc(C#N)ccc56)cc4cc3cc1cc2
96,3C77_6,c1cc2c(cc1)c1cc3cc4cc5c(ccc6cc(C#N)c(C#N)cc56)cc4cc3c(C#N)c1cc2
97,3C77_7,c1cc2c(cc1C#N)c1cc3cc4cc5c(ccc6ccccc56)cc4c(C#N)c3cc1c(C#N)c2
98,3C77_8,c1cc2c(c(C#N)c1)c1cc3cc4cc5c(ccc6cccc(C#N)c56)cc4c(C#N)c3cc1cc2
99,3C77_9,c1c(C#N)c2c(c(C#N)c1C#N)c1cc3cc4cc5c(ccc6ccccc56)cc4cc3cc1cc2
100,43_1,c1c(C#N)c2c(cc1)c1c(cc2)c2c(c(C#N)ccc2)cc1
101,43_2,c1cc2c(cc1)c1c(cc2)c2c(cc(C#N)c(C#N)c2)cc1
