,No,IP,EA,BG
104,C555,6.0882375,2.3961126,3.6921249
105,C556,6.0376269,2.3710793999999997,3.6665475000000005
106,C557,6.1048356,2.4747495,3.6300861
107,C558,6.0101448,2.4230505,3.5870943000000004
108,C561,5.983479000000001,2.1506784,3.8328006000000006
109,C562,6.0414363,2.3223735,3.7190628000000006
110,C563,6.0196683,2.2475460000000003,3.7721223000000004
111,C564,5.9029374,2.1792488999999997,3.7236885
112,C565,6.0822513,2.4967896,3.5854617
113,C566,6.0746325,2.4535257,3.6211068
114,C567,6.130413,2.4260436000000003,3.7043693999999996
115,C571,5.8588572,2.1528552,3.7060020000000007
116,C572,5.993818800000001,2.2954356000000002,3.6983832
117,C573,6.0117774,2.2891773,3.7226000999999997
118,C574,5.9764044,2.1972075,3.7791969000000005
119,C575,6.059667,2.4124386,3.6472284
120,C576,6.002526,2.3667258,3.6358002
121,C577,5.997084000000001,2.4535257,3.5435583000000004
122,C581,5.8085187,2.5041363000000003,3.3043823999999997
123,C582,5.8373613,2.4399207,3.3974406
124,C583,5.930691599999999,2.4279483,3.5027432999999997
125,C584,5.937494099999999,2.4331182,3.5043759
126,C585,5.883074100000001,2.4557025,3.4273716000000007
127,C586,5.953820100000001,2.5180134,3.4358067
128,C587,5.9957234999999995,2.4706680000000003,3.5250555
129,C591,5.5649892,2.3452299,3.2197593
130,C5910,5.8188585,2.5653588000000003,3.2534997000000003
131,C5912,5.8542315,2.5476723000000003,3.3065592
132,C5913,5.7606291,2.5354278,3.2252013000000006
133,C5914,5.7867507,2.5884873,3.1982634
134,C592,5.7475683,2.408085,3.3394833000000004
135,C593,5.7913764,2.4693075,3.3220689
136,C594,5.770968900000001,2.4581514,3.3128175
137,C595,5.809335,2.552298,3.257037
138,C596,5.7679758,2.3982894,3.3696864000000004
139,C597,5.8403544,2.5427745,3.2975798999999997
140,C598,5.8213074,2.5724334,3.248874
141,C599,5.8632108,2.63937,3.2238408
142,C61.1,4.9402476,3.2105079,1.7297397
143,C61.2,5.006095800000001,3.2668326000000003,1.7392632000000001
144,C61.5,4.9968444000000005,3.2929542,1.7038902
145,C61.6,5.0436456000000005,3.3408438,1.7028018
146,C61011,5.4648563999999995,2.8170513,2.6478051
147,C6107,5.4942432,2.8178676,2.6763755999999996
148,C6108,5.445809400000001,2.7852156000000003,2.6605938000000005
149,C6111,5.658047400000001,2.7525636,2.9054838000000003
150,C6113,5.6087973,2.5814127,3.0273846000000004
151,C6115,5.5976412,2.5280811,3.0695600999999995
152,C6116,5.6716524,2.6902527000000003,2.9813997
153,C6117,5.605804200000001,2.6181462,2.987658
154,C6118,5.6792712,2.7637197,2.9155515
155,C6125,5.5666218,2.6600496000000002,2.9065722000000003
156,C6127,5.616960300000001,2.7226326,2.8943277000000003
157,C6128,5.5938318,2.6467167,2.9471151000000004
158,C6131,5.5328814,2.5370604,2.995821
159,C6137,5.6447145,2.7487542,2.8959603
160,C61411,5.8466127000000006,2.4899871,3.3566256000000005
161,C61416,5.7426705,2.4124386,3.3302319
162,C6143,5.7930090000000005,2.2810143000000003,3.5119947000000007
163,C6144,5.824844700000001,2.3131221,3.5117226
164,C6147,5.8324635,2.4083571000000004,3.4241064000000003
165,C6148,5.9157261,2.4771984,3.4385276999999994
166,C6149,5.9111004,2.4777426,3.4333577999999996
167,C61516,5.7429426,2.3893101,3.3536325000000002
168,C6155,5.937494099999999,2.4303972,3.5070969
169,C6156,5.9878326,2.555019,3.4328136
170,C6157,5.9312358000000005,2.4614166,3.4698192000000008
171,C6158,5.9568132,2.47611,3.4807032
172,C6159,5.8945023,2.4249552000000003,3.4695470999999998
173,C6161,5.8523268,2.1561204000000003,3.6962064
174,C6163,5.913821400000001,2.108775,3.8050464000000006
175,C6164,5.7940974,2.2089078,3.5851895999999996
176,C6171,5.9783091,2.4959733,3.4823357999999995
177,C6172,5.8923255,2.1936702,3.6986553
178,C6173,5.9513712000000005,2.4418254,3.5095457999999997
179,C6175,6.0047028,2.2992450000000004,3.705457799999999
180,C6181,5.7263445,2.5593726,3.1669719
181,C6183,5.733147,2.5833174,3.1498296000000003
182,C6184,5.7747783,2.5751544,3.1996239
183,C6185,5.697774,2.6282139,3.0695601000000003
184,C6186,5.4977805,2.3071359,3.1906446
185,C6187,5.617232400000001,2.3512161000000003,3.2660163000000004
186,C6188,5.6871621,2.4674028,3.2197593
187,C6189,5.5581867,2.3963847,3.1618020000000002
188,C6191,6.092319,2.2687698,3.8235491999999995
189,C61910,6.1162638000000005,2.1917655,3.9244983000000007
190,C61911,5.997084000000001,2.1928539,3.8042301000000007
191,C61912,6.0833397,2.3055033000000003,3.7778364
192,C6192,5.9328684,2.1602019,3.7726665
193,C6193,6.0632043,2.1125844000000003,3.9506198999999995
194,C6194,6.0087843,2.1090470999999997,3.8997372
195,C6195,6.0659253,2.0938095000000003,3.9721158
196,C6196,6.0795303,2.1090470999999997,3.9704832
197,C6197,5.935861500000001,2.1036051000000002,3.832256400000001
198,C6198,6.009600600000001,2.2176150000000003,3.7919856
199,C6199,6.0721836,2.1991122,3.8730714
200,C62.1,5.0942562,2.7795015000000003,2.3147547
201,C62.10,5.2547952,2.9955488999999997,2.2592463000000005
202,C62.11,5.314385100000001,3.0363639,2.2780212000000004
203,C62.12,5.314113,3.036636,2.277477
204,C62.13,5.2523463,2.9925558,2.2597905000000003
205,C62.14,5.3103036,3.0839814,2.2263222000000003
206,C62.15,5.3260854,3.1024842,2.2236012
207,C62.16,5.2643187000000005,3.0287451,2.2355736
208,C62.2,5.2098987,2.9022186000000003,2.3076801
209,C62.3,5.2360203,2.9384079,2.2976123999999998
210,C62.4,5.2060893,2.881539,2.3245503000000003
211,C62.5,5.275746900000001,3.0009909,2.2747560000000004
212,C62.6,5.1984705,2.9103816,2.2880889
213,C62.7,5.2866309,3.0505131000000003,2.2361177999999997
214,C62.8,5.3375136,3.1114634999999997,2.2260501
215,C62.9,5.3160177,3.0891513,2.2268663999999996
216,C6201,6.1475553,2.3800587,3.7674965999999994
217,C62010,6.0746325,2.1844188,3.8902137
218,C6202,6.0969447,2.3463183,3.7506264
219,C6203,6.0844281,2.4099897,3.6744384
220,C6204,5.910012,2.1561204000000003,3.7538916
221,C6205,6.0373548,2.1895887000000003,3.8477660999999994
222,C6206,5.9992608,2.1003399,3.8989209000000007
223,C6207,6.0389874,2.1046935,3.9342939
224,C6208,5.9260659,2.1661881000000003,3.759877800000001
225,C6209,6.0444294,2.4336624000000002,3.6107669999999996
226,C6211,5.871918,2.5180134,3.3539046
227,C6212,5.8885161,2.4796473000000003,3.4088688
228,C6213,5.8811694,2.4497163,3.4314531
229,C6214,5.844708,2.3163873,3.5283207000000005
230,C6215,5.8400823,2.5313463,3.3087359999999997
231,C6216,5.8185864,2.4162480000000004,3.4023383999999997
232,C6217,5.8953185999999995,2.462505,3.4328136
233,C6218,5.7154605,2.2023774,3.5130831000000002
234,C6221,5.8713738,2.5212786,3.3500951999999997
235,C6222,5.8455243,2.5348836,3.3106406999999995
236,C6223,5.895862800000001,2.6121600000000003,3.2837028000000004
237,C6224,5.8547757,2.5427745,3.3120012
238,C6225,5.7565476,2.3125779,3.4439697000000007
239,C6226,5.5581867,2.25843,3.2997567
240,C6227,5.7440310000000006,2.3623722,3.3816588000000007
241,C6228,5.8215795,2.4799194,3.3416601000000004
242,C6231,5.869197000000001,2.5011432,3.3680538
243,C6232,5.895862800000001,2.4665865,3.429276300000001
244,C6233,5.8245726,2.3365227,3.4880499
245,C6234,5.864843400000001,2.4894429000000002,3.3754005000000005
246,C6235,5.8354566000000005,2.4995106,3.3359460000000003
247,C6236,5.7845739,2.4045477,3.3800262
248,C6237,5.8172259,2.2753002,3.5419257
249,C6238,5.8770879,2.5182854999999997,3.3588024
250,C6241,5.7500172,2.2124451,3.5375721000000007
251,C6242,5.9361336,2.198568,3.7375655999999995
252,C6243,6.0090564,2.3914869,3.6175695000000005
253,C6244,5.9513712000000005,2.2404714,3.7108998
254,C6245,5.9034816,2.2094519999999997,3.6940296
255,C6246,5.9755881,2.2363899000000003,3.7391981999999997
256,C6251,6.0626601,2.3199246000000002,3.7427355
257,C6252,6.112454400000001,2.3857728,3.726681600000001
258,C6253,6.1067403,2.3221014,3.7846389
259,C6254,6.0463341,2.2170708,3.8292633
260,C6255,6.0686463,2.2635999,3.8050464000000006
261,C6256,5.8708296,2.1242847,3.7465449000000004
262,C6257,6.0365385,2.0483688,3.9881696999999994
263,C6258,5.9587179,2.1836025,3.7751153999999993
264,C6259,6.067830000000001,2.0913606,3.9764694
265,C6261,5.8817136,2.4712122,3.4105014000000002
266,C6262,5.8215795,2.4728448000000003,3.3487347
267,C6263,5.836545,2.5025037,3.3340413
268,C6264,5.7546429,2.168637,3.5860059000000004
269,C6265,5.7660711,2.2029216000000003,3.5631494999999997
270,C6266,5.8449801,2.3207409,3.5242392
271,C6267,5.8651155,2.4527094,3.4124061
272,C6268,5.751649800000001,2.2733955,3.4782543
273,C6271,5.8770879,2.5188297,3.3582582
274,C6272,5.8770879,2.5193739,3.3577139999999996
275,C6273,5.9086515,2.6211393,3.2875122000000006
276,C6274,5.8585851,2.5490328,3.3095523
277,C6275,5.7094743,2.2380225,3.471451799999999
278,C6276,5.8360008,2.4494442000000003,3.3865566
279,C6277,5.7565476,2.2619673,3.4945803
280,C6278,5.670564000000001,2.2932588,3.3773052000000003
281,C6281,5.8836183,2.4581514,3.4254669
282,C62810,5.8335519,2.3514882,3.4820637000000003
283,C6282,5.8681086,2.5125714,3.3555371999999997
284,C6283,5.9040258,2.5479444,3.3560814000000003
285,C6284,5.8419870000000005,2.4361113,3.4058757
286,C6285,5.6117904,2.1827862000000002,3.4290042000000005
287,C6286,5.7968184,2.53053,3.2662884000000005
288,C6287,5.6365515,2.3161152,3.3204363
289,C6288,5.8482453,2.4094455000000004,3.4387998
290,C6289,5.8340961,2.4113502,3.4227459
291,C6291,5.8199469,2.2314921,3.5884548
292,C6292,5.9965398,2.3599233,3.6366164999999997
293,C6293,5.9527317,2.2668651,3.6858666
294,C6294,5.896407,2.2687698,3.6276372
295,C6295,5.9981724000000005,2.3161152,3.6820572
296,C6296,6.0275592,2.3789702999999998,3.6485888999999996
297,C63.1,5.6645778,2.759094,2.9054838000000003
298,C63.10,5.6672988,2.8388193000000004,2.8284795
299,C63.12,5.537235,2.5947456,2.9424894
300,C63.13,5.5429491,2.5626378,2.9803113000000003
301,C63.14,5.4205041000000005,2.5629099,2.8575942000000003
302,C6301,5.817498,2.4769263,3.3405717
303,C6302,5.861034,2.4371997,3.4238343
304,C6303,5.810967600000001,2.4962454000000003,3.3147222
305,C6304,5.6289327,2.3098568999999998,3.3190758000000002
306,C6305,5.7905601,2.3261829,3.4643772
307,C6306,5.8164096,2.3865891,3.4298205
308,C6307,5.7905601,2.3261829,3.4643772
309,C6308,5.8161375,2.3743446,3.4417929
310,C6311,5.9557248,2.331897,3.6238278
311,C63110,6.062388,2.3234619,3.7389261
312,C6312,5.526351,2.5528422,2.9735088000000003
313,C6314,5.4205041000000005,2.5629099,2.8575942000000003
314,C6315,5.9951793,2.2652325,3.7299467999999996
315,C6316,6.0109611,2.2524438000000004,3.7585172999999994
316,C6317,5.8014441,2.1999285000000004,3.6015156000000004
317,C6318,5.9932746,2.2793817,3.7138929000000003
318,C6319,6.0082401,2.2404714,3.7677687000000004
319,C6321,5.8904208,2.2698582,3.6205626000000004
320,C6322,6.0014376,2.3952963,3.6061413000000004
321,C6323,5.9981724000000005,2.3079522000000003,3.6902201999999997
322,C6324,5.9513712000000005,2.2731234000000002,3.6782478
323,C6325,6.0485109,2.3084964,3.7400145
324,C6326,5.9706903,2.3060475,3.6646427999999993
325,C6327,5.9981724000000005,2.3079522000000003,3.6902201999999997
326,C6331,5.9750439,2.4040035,3.5710404000000007
327,C63310,5.916270300000001,2.2965240000000002,3.6197463000000005
328,C6332,5.8928697,2.2780212,3.614848500000001
329,C6333,5.9761323,2.3302644,3.6458679000000003
330,C6334,5.9666088,2.2195197,3.7470891
331,C6335,5.8368171,2.2461855,3.590631600000001
332,C6336,5.9706903,2.3193804,3.6513098999999993
333,C6337,5.9377662,2.3166594,3.6211068
334,C6338,5.8460685,2.2505391,3.5955294
335,C6339,5.9429361,2.2323084,3.7106277
336,C6341,5.9747718,2.3082243,3.6665474999999996
337,C6342,6.0196683,2.2614231,3.7582452000000006
338,C6343,6.0357221999999995,2.3212851,3.7144371
339,C6344,6.010689,2.2029216000000003,3.8077674000000004
340,C6345,5.9132772000000005,2.2167987,3.696478500000001
341,C6346,5.9959956000000005,2.1972075,3.7987881000000003
342,C6410,5.546214300000001,2.9207214,2.6254929000000002
343,C6411,5.4898896,2.8249422,2.6649474
344,C6412,5.5434933,2.8469823,2.696511
345,C642,5.4496188000000005,2.731884,2.7177348000000006
346,C643,5.3938383,2.642091,2.7517472999999995
347,C653,5.633014200000001,2.6997762,2.9332380000000002
348,C654,5.584036200000001,2.6273976,2.9566386000000002
349,C656,5.6338305,2.6358327,2.9979978000000003
350,C661,5.6569590000000005,2.7419517,2.9150073
351,C664,5.6360073,2.6137926000000005,3.0222147
352,C666,5.675189700000001,2.6872596,2.9879301000000003
353,C667,5.6136951,2.6224998,2.9911953000000002
354,C668,5.6991345,2.7746037,2.9245308
355,C6710,5.851238400000001,2.4254994,3.4257390000000005
356,C6711,5.9064747,2.4595119,3.4469628000000005
357,C6713,5.8702854,2.3708073,3.4994781
358,C6716,5.8221237,2.5555632000000004,3.2665604999999998
359,C674,5.876271600000001,2.3631885,3.5130831000000002
360,C677,5.8985838,2.4396486000000004,3.4589352000000004
361,C678,5.911372500000001,2.4878103,3.4235621999999997
362,C679,5.927426400000001,2.5392372,3.3881892000000002
363,C681,5.7834855,2.4840009,3.2994846
364,C683,5.8653876,2.6091669,3.2562207
365,C684,5.8221237,2.5397814000000003,3.2823423
366,C685,5.869197000000001,2.5264485000000003,3.3427485000000003
367,C686,5.7279771,2.3895822,3.3383949000000004
368,C687,5.7464799,2.3180199,3.4284600000000003
369,C688,5.806614000000001,2.5990992,3.2075148
370,C691,5.8327356,2.1955749,3.6371607000000004
371,C693,6.0158589000000005,2.2682256,3.747633300000001
372,C695,6.0245661,2.3487671999999997,3.6757988999999998
373,C696,5.9845674,2.2548927,3.7296747
