,No,smiles
70,C5122,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc(cc1)C#N
71,C5125,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(c1c(c2)cccc1)C#N
72,C5126,c1ccc2c(c1)cc1c(c2)cc2c(c1C#N)cc1c(c2)cccc1
73,C521,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1C#N)cc2
74,C522,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(ccc(c1)C#N)cc2
75,C523,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cc(cc1)C#N)cc2
76,C524,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(c(ccc1)C#N)cc2
77,C525,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c(c2)C#N
78,C526,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)cc2C#N
79,C527,c1cc2c(cc1)c1c(cc2)cc(c2c1c1c(cccc1)cc2)C#N
80,C531,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(cccc1)cc2
81,C532,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c(c2)C#N
82,C533,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(ccc1)C#N)cc2
83,C534,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc(cc1)C#N)cc2
84,C535,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc(c1)C#N)cc2
85,C536,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1C#N)cc2
86,C537,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(cccc1)cc2
87,C541,c1cc2c(cc1)c1c(c(c2)C#N)c2ccccc2c2c1cccc2
88,C5410,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1cccc2C#N
89,C5411,c1cc2c(cc1)c1c(cc2)c2cccc(c2c2c1cccc2)C#N
90,C5412,c1cc2c(cc1)c1c(cc2)c2ccc(cc2c2c1cccc2)C#N
91,C5413,c1cc2c(cc1)c1c(cc2)c2ccc(cc2c2c1cccc2)C#N
92,C5414,c1cc2c(cc1)c1c(cc2)c2c(cccc2c2c1cccc2)C#N
93,C542,c1cc2c(cc1)c1c(cc2C#N)c2ccccc2c2c1cccc2
