,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C558,3.5870943,6.0101448,2.4230505,1.45,c1cc2c(cc1)c1c(c3c(ccc4ccccc34)cc1cc2)C#N,sa,((sa*1))*(1/1)
C6223,3.2837028,5.8958628,2.61216,1.95,c1cc2c(cc1)c1c(cc2)c2c(ccc3c(c4ccccc4cc23)C#N)cc1,sa,((sa*1))*(1/1)
C6341,3.6665475,5.9747718,2.3082243,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2C#N)c2c(cccc2)cc1,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C6287,3.3204363,5.6365515,2.3161152,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(cccc3C#N)cc4)cc1cc2,s,((s))*(1/1)
C51.13,3.7560684,5.9260659,2.1699975,0.83,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2c(ccc3)C#N)cc1,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6339,3.7106277,5.9429361,2.2323084,1.17,c1(cc2c(cc1)c1c(cc2)c2c(cccc2)c2c1ccc1ccccc21)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C6255,3.8050464,6.0686463,2.2635999,1.17,c1(cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C521,3.7310352,5.8994001,2.1683649,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C527,3.8099442,6.1470111,2.3370669,0.83,c1cc2c(cc1)c1c(cc2)cc(c2c1c1c(cccc1)cc2)C#N,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C6343,3.7144371,6.0357222,2.3212851,1.17,c1cc2c(cc1)c1c(cc2C#N)c2c(cc1)c1c(cc2)c2c(cccc2)cc1,sa,((s)+(s)+(s)+(sa*1)+(sa*1))*(1/5)
C5103,3.3710469,5.7668874,2.3958405,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cccc1C#N,s,((s))*(1/1)
C581,3.3043824,5.8085187,2.5041363,1.62,c1cc2cc3c(cc2cc1)c1c(c2ccccc2cc1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C6185,3.0695601,5.697774,2.6282139,2.37,c1cc2cc3c(c(c2cc1)C#N)c1c(cc3)c2c(cccc2)c2ccccc12,sa,((sa*1))*(1/1)
C62.10,2.2592463,5.2547952,2.9955489,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)c(ccc2)C#N,sa,((sa*1))*(1/1)
C586,3.4358067,5.9538201,2.5180134,1.62,c1cc2cc3c(cc2cc1)c1cc2ccccc2c(c1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C6158,3.4807032,5.9568132,2.47611,1.37,c1cc2c(cc1)c1cc3c(c(cc4cc5ccccc5cc34)C#N)cc1cc2,sa,((sa*1)+(sa*1))*(1/2)
C594,3.3128175,5.7709689,2.4581514,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3C#N)cccc2,s,((s))*(1/1)
C654,2.9566386,5.5840362,2.6273976,2.35,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cc2c(c1)c(ccc2)C#N,sa,((sa*1)+(s))*(1/2)
C6238,3.3588024,5.8770879,2.5182855,1.78,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(ccc2c1cccc2)cc3)C#N,sa,((sa*1))*(1/1)
C6257,3.9881697,6.0365385,2.0483688,1.17,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(ccc(c1)C#N)c1ccccc21,sa,((s)+(sa*1)+(s)+(s)+(s))*(1/5)
C681,3.2994846,5.7834855,2.4840009,1.95,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)c2c(ccc3ccccc23)cc1,sa,((sa*1))*(1/1)
C51.10,3.8932068,6.124971,2.2317642,0.83,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2cccc3C#N)cc1,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6215,3.308736,5.8400823,2.5313463,1.78,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cc3)c2c(cccc2)cc1,sa,((sa*1))*(1/1)
C536,3.7933461,5.9951793,2.2018332,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6207,3.9342939,6.0389874,2.1046935,1.2,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1c(cccc31)C#N,s,((s))*(1/1)
C547,3.8303517,5.9622552,2.1319035,0.83,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1c(ccc2)C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C6214,3.5283207,5.844708,2.3163873,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cc3)c2c(ccc(c2)C#N)cc1,s,((s))*(1/1)
C582,3.3974406,5.8373613,2.4399207,1.62,c1cc2cc3c(cc2cc1)c1cc2c(cccc2cc1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C6241,3.5375721,5.7500172,2.2124451,1.17,c1cc2c(c(c1)C#N)c1c3c4c(cccc4)ccc3c3ccccc3c1cc2,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C51.3,3.9911628,6.2003427,2.2091799,0.83,c1(cc2c(cc1)c1c(cc2)c2c(ccc3c2cccc3)cc1)C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C534,3.9587829,6.1317735,2.1729906,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc(cc1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6311,3.6238278,5.9557248,2.331897,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc3ccccc13)cc2C#N,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C51.6,3.850215,6.1263315,2.2761165,0.83,c1cc2c(cc1)c1c(cc2)c2c(ccc3c2cccc3)cc1C#N,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C695,3.6757989,6.0245661,2.3487672,0.75,c1cc2c(cc1)c1c(cc2C#N)ccc2c1ccc1c2c2ccccc2cc1,sa,((s)+(s)+(s)+(sa*1)+(sa*1))*(1/5)
C6288,3.4387998,5.8482453,2.4094455,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(cc(cc3)C#N)cc4)cc1cc2,s,((s))*(1/1)
C446,3.5552586,5.9897373,2.4344787,1.7,c12c(cc3c(c1)c1c(cc3C#N)cccc1)cccc2,sa,((sa*1))*(1/1)
C5411,3.866541,5.9968119,2.1302709,0.83,c1cc2c(cc1)c1c(cc2)c2cccc(c2c2c1cccc2)C#N,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6127,2.8943277,5.6169603,2.7226326,2.35,c1cc2cc3c(cc2cc1)c1c(cc3C#N)ccc2c1cc1ccccc1c2,sa,((sa*1)+(s))*(1/2)
C576,3.6358002,6.002526,2.3667258,1.45,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cccc1)cc3,sa,((sa*1))*(1/1)
C63.12,2.9424894,5.537235,2.5947456,2.52,c12c(cc3c(c1)cc1c(c3)ccc3c1cc1c(c3)cc(cc1)C#N)cccc2,s,((s))*(1/1)
C6197,3.8322564,5.9358615,2.1036051,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1cccc(c21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C5126,2.0864628,5.2746585,3.1881957,3.7,c1ccc2c(c1)cc1c(c2)cc2c(c1C#N)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C425,4.0183728,6.225648,2.2072752,0.5,c1cc2c(cc1)c1c(ccc3ccc(cc13)C#N)cc2,sa,((sa*1)+(s)+(s))*(1/3)
C5119,2.8012695,5.5815873,2.7803178,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cccc1C#N,sa,((sa*1))*(1/1)
C51.5,3.8670852,6.0860607,2.2189755,0.83,c1cc2c(c(c1)C#N)c1c(cc2)c2c(ccc3c2cccc3)cc1,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C51.4,4.0044957,6.1970775,2.1925818,0.83,c1cc2c(cc1C#N)c1c(cc2)c2c(ccc3c2cccc3)cc1,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C5117,2.7735153,5.6248512,2.8513359,2.6,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C61912,3.7778364,6.0833397,2.3055033,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1C#N)c1c(cccc1)c1ccccc21,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C51113,2.759094,5.6253954,2.8663014,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2C#N)cccc1,sa,((sa*1))*(1/1)
C6147,3.4241064,5.8324635,2.4083571,1.73,c1cc2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4)c1c3C#N)c2,sa,((sa*1)+(s))*(1/2)
C62.9,2.2268664,5.3160177,3.0891513,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1C#N)cccc2,sa,((sa*1))*(1/1)
C432,3.9166074,6.2381646,2.3215572,1.08,c1ccc2c(c1)c1c(cc2)c2c(c(c1)C#N)cccc2,sa,((sa*1)+(sa*1)+(s))*(1/3)
C572,3.6983832,5.9938188,2.2954356,1.45,c1cc2c(cc1C#N)c1cc3c(cc1cc2)c1c(cccc1)cc3,s,((s))*(1/1)
C556,3.6665475,6.0376269,2.3710794,1.45,c1cc2c(cc1)c1cc3c(ccc4ccccc34)cc1c(c2)C#N,sa,((sa*1))*(1/1)
C445,3.5669589,6.0387153,2.4717564,1.7,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cccc2,sa,((sa*1))*(1/1)
C6304,3.3190758,5.6289327,2.3098569,1.78,c1cc2c(cc1)cc1c(c2)c2c(cccc2)c2c1c1c(cccc1C#N)cc2,s,((s))*(1/1)
C6194,3.8997372,6.0087843,2.1090471,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(ccc1)C#N)c1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6284,3.4058757,5.841987,2.4361113,1.78,c1cc2c(cc1)c1cc3c(ccc4c3c3c(cccc3)cc4)cc1c(c2)C#N,sa,((sa*1))*(1/1)
C433,3.9416406,6.1777584,2.2361178,1.08,c1ccc2c(c1)c1c(cc2)c2c(cc1)c(ccc2)C#N,sa,((sa*1)+(s)+(s))*(1/3)
C532,3.866541,6.1674186,2.3008776,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c(c2)C#N,sa,((sa*1)+(sa*1)+(s)+(s))*(1/4)
C6271,3.3582582,5.8770879,2.5188297,1.95,c1cc2c(cc1)cc1c(cc(c3c1ccc1c3ccc3c1cccc3)C#N)c2,sa,((sa*1))*(1/1)
C441,3.6504936,5.8400823,2.1895887,1.7,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cccc2,s,((s))*(1/1)
C593,3.3220689,5.7913764,2.4693075,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1ccc(c3)C#N)cccc2,s,((s))*(1/1)
C6259,3.9764694,6.06783,2.0913606,1.17,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccc(cc21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6292,3.6366165,5.9965398,2.3599233,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)ccc1c2cc(c2c1cccc2)C#N,sa,((sa*1)+(sa*1)+(s)+(s)+(s))*(1/5)
C62.14,2.2263222,5.3103036,3.0839814,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)c(c2c(c1)cccc2)C#N,sa,((sa*1))*(1/1)
C533,3.8736156,6.089598,2.2159824,0.83,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(c(ccc1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C585,3.4273716,5.8830741,2.4557025,1.62,c1cc2cc3c(cc2cc1)c1cc2cccc(c2cc1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C6326,3.6646428,5.9706903,2.3060475,0.58,c1c(c2c(cc1)c1c(cc2)c2c(c3ccccc13)c1c(cccc1)cc2)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C6711,3.4469628,5.9064747,2.4595119,1.78,c1cc2c(cc1)c1c(cc2)c2c(cc1)cc1cc(c3ccccc3c1c2)C#N,sa,((sa*1))*(1/1)
C546,3.7465449,5.9930025,2.2464576,0.83,c1cc2c(c(c1)C#N)c1c(cc2)c2ccccc2c2c1cccc2,sa,((s)+(s)+(sa*1)+(s))*(1/4)
C6233,3.4880499,5.8245726,2.3365227,1.78,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(cc2c1cccc2)C#N)cc3,s,((s))*(1/1)
C6256,3.7465449,5.8708296,2.1242847,1.17,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1C#N)c1ccccc21,sa,((s)+(sa*1)+(s)+(s)+(s))*(1/5)
C6315,3.7299468,5.9951793,2.2652325,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(ccc3c(cccc13)C#N)cc2,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C553,3.7460007,6.0517761,2.3057754,1.45,c1(cc2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2)C#N,s,((s))*(1/1)
C6262,3.3487347,5.8215795,2.4728448,1.78,c1cc2c(cc1)c1c(cc2)c2cc3cccc(c3cc2c2c1cccc2)C#N,sa,((sa*1))*(1/1)
C6333,3.6458679,5.9761323,2.3302644,1.17,c1cc2c(cc1)c1c(cc2)c2c(ccc(c2)C#N)c2c1ccc1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C577,3.5435583,5.997084,2.4535257,1.45,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cccc1)cc3,sa,((sa*1))*(1/1)
C51010,3.2714583,5.8316472,2.5601889,2.03,c1cc(c2c(c1)cc1c(c2)ccc2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C5410,3.9030024,6.0267429,2.1237405,0.83,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1cccc2C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C6148,3.4385277,5.9157261,2.4771984,1.73,c1cc2c(cc1)cc1c(cc(c3c1cc1ccc4c(cccc4)c1c3)C#N)c2,sa,((sa*1)+(sa*1))*(1/2)
C531,3.8521197,6.1143591,2.2622394,0.83,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(cccc1)cc2,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C6117,2.987658,5.6058042,2.6181462,2.35,c1cc2c(cc1)c1cc3cc4c(cc3cc1cc2)c1c(cccc1)cc4C#N,sa,((sa*1))*(1/1)
C597,3.2975799,5.8403544,2.5427745,2.03,c12c(cc3c(c1)c1c(c(c3)C#N)ccc3c1cccc3)cccc2,sa,((sa*1))*(1/1)
C5104,3.3854682,5.8082466,2.4227784,2.03,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2ccc(c1)C#N,s,((s))*(1/1)
C5412,3.8423241,6.0773535,2.2350294,0.83,c1cc2c(cc1)c1c(cc2)c2ccc(cc2c2c1cccc2)C#N,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C6202,3.7506264,6.0969447,2.3463183,1.2,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cccc1)c1ccccc31,sa,((sa*1))*(1/1)
C6159,3.4695471,5.8945023,2.4249552,1.37,c1cc2c(cc1)c1cc3c(ccc4cc5ccccc5cc34)c(c1cc2)C#N,sa,((s)+(sa*1))*(1/2)
C5107,3.316899,5.8457964,2.5288974,2.03,c1ccc2c(c1)cc1c(c2)cc(c2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C455,2.606718,5.5668939,2.9601759,2.85,c1ccc2c(c1)cc1c(c2)cc2c(c1C#N)cccc2,sa,((sa*1))*(1/1)
C567,3.7043694,6.130413,2.4260436,1.45,c1(cc2cc3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N,sa,((sa*1))*(1/1)
C6244,3.7108998,5.9513712,2.2404714,1.17,c1cc2c(cc1)c1c3c4c(cccc4)cc(c3c3ccccc3c1cc2)C#N,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C51014,3.1901004,5.8161375,2.6260371,2.03,c1ccc2c(c1)c(c1c(c2)ccc2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C6203,3.6744384,6.0844281,2.4099897,1.2,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cccc1)c1ccccc31,sa,((sa*1))*(1/1)
C583,3.5027433,5.9306916,2.4279483,1.62,c1cc2cc3c(cc2cc1)c1cc2cc(ccc2cc1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C6149,3.4333578,5.9111004,2.4777426,1.73,c1cc2c(cc1)cc1c(c(cc3c1cc1ccc4c(cccc4)c1c3)C#N)c2,sa,((sa*1)+(sa*1))*(1/2)
C549,3.8387868,6.0996657,2.2608789,0.83,c1cc2c(cc1)c1c(cc2)c2ccccc2c2c1ccc(c2)C#N,sa,((s)+(s)+(s)+(sa*1))*(1/4)
C426,3.8823228,6.0825234,2.2002006,0.5,c1cc2c(cc1)c1c(ccc3cccc(c13)C#N)cc2,sa,((sa*1)+(s)+(s))*(1/3)
C565,3.5854617,6.0822513,2.4967896,1.45,c1cc2c(c3c(cc2cc1)c1c(cccc1)c1ccccc31)C#N,sa,((sa*1))*(1/1)
C6282,3.3555372,5.8681086,2.5125714,1.78,c1cc2c(cc1)c1cc3c(c(cc4c3c3c(cccc3)cc4)C#N)cc1cc2,sa,((sa*1))*(1/1)
C6245,3.6940296,5.9034816,2.209452,1.17,c1cc2c(cc1)c1c3c4c(cccc4)ccc3c3c(cccc3c1cc2)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6217,3.4328136,5.8953186,2.462505,1.78,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cc3)c2c(cccc2)cc1,sa,((sa*1))*(1/1)
C6199,3.8730714,6.0721836,2.1991122,0.58,c1c(c2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C542,3.7585173,6.1325898,2.3740725,0.83,c1cc2c(cc1)c1c(cc2C#N)c2ccccc2c2c1cccc2,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C61411,3.3566256,5.8466127,2.4899871,1.73,c1c(c2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4)c1c3)c2)C#N,sa,((s)+(sa*1))*(1/2)
C5116,2.8396356,5.5312488,2.6916132,2.6,c12c(cc3c(c1)c1c(cc3C#N)cccc1)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C6173,3.5095458,5.9513712,2.4418254,1.37,c1cc2cc3c(cc2c(c1)C#N)c1c(cccc1)c1cc2c(cccc2)cc31,sa,((sa*1)+(s))*(1/2)
C668,2.9245308,5.6991345,2.7746037,2.35,c1cc2c(cc1)c1cc3cc4c(ccc5ccccc45)c(c3cc1cc2)C#N,sa,((sa*1))*(1/1)
C656,2.9979978,5.6338305,2.6358327,2.35,c1ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cc2c(c1)cc(cc2)C#N,sa,((sa*1)+(s))*(1/2)
C5115,2.8303842,5.6003622,2.769978,2.6,c12c(cc3c(c1)c1c(c(c3)C#N)cccc1)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C643,2.7517473,5.3938383,2.642091,2.93,c1ccc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)c2c(cc1)c(ccc2)C#N,s,((s))*(1/1)
C6157,3.4698192,5.9312358,2.4614166,1.37,c1cc2c(cc1)c1cc3c(cc(c4cc5ccccc5cc34)C#N)cc1cc2,sa,((sa*1)+(sa*1))*(1/2)
C6137,2.8959603,5.6447145,2.7487542,2.35,c1c(c2cc3cc4c(cc3cc2cc1)c1c(cccc1)c1ccccc41)C#N,sa,((sa*1))*(1/1)
C6209,3.610767,6.0444294,2.4336624,1.2,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(cccc1)c1ccccc31)C#N,sa,((sa*1))*(1/1)
C6251,3.7427355,6.0626601,2.3199246,1.17,c1cc2c(cc1)c1c(cc2)cc(c2c1c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C5914,3.1982634,5.7867507,2.5884873,2.03,c12c(cc3c(c1C#N)c1c(cc3)ccc3c1cccc3)cccc2,sa,((sa*1))*(1/1)
C411,4.4423046,6.5391072,2.0968026,0.5,c1cc2c(cc1)c1c(ccc(c1)C#N)c1c2cccc1,sa,((s)+(s)+(sa*1))*(1/3)
C6183,3.1498296,5.733147,2.5833174,2.37,c1c(c2cc3c(cc2cc1)c1c(cc3)c2c(cccc2)c2ccccc12)C#N,sa,((sa*1))*(1/1)
C687,3.42846,5.7464799,2.3180199,1.95,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(ccc3cc(ccc23)C#N)cc1,s,((s))*(1/1)
C6267,3.4124061,5.8651155,2.4527094,1.78,c1cc2c(cc1)c1c(cc2C#N)c2cc3ccccc3cc2c2c1cccc2,s,((s))*(1/1)
C61.5,1.7038902,4.9968444,3.2929542,4.5,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1C#N)cccc2,sa,((sa*1))*(1/1)
C51012,3.3337692,5.8776321,2.5438629,2.03,c1(ccc2c(c1)cc1c(c2)ccc2c1ccc1c2cccc1)C#N,sa,((sa*1))*(1/1)
C6164,3.5851896,5.7940974,2.2089078,1.17,c1cc2c(cc1)c1c(c3ccccc23)c2c(cccc2C#N)c2c1cccc2,sa,((s)+(sa*1)+(s)+(s)+(s))*(1/5)
C6321,3.6205626,5.8904208,2.2698582,0.58,c1cc2c(cc1)c1c(c(c2)C#N)c2c(c3ccccc13)c1c(cccc1)cc2,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C6286,3.2662884,5.7968184,2.53053,1.78,c1cc2c(cc1)c1c(c3c(ccc4c3c3c(cccc3)cc4)cc1cc2)C#N,sa,((sa*1))*(1/1)
C575,3.6472284,6.059667,2.4124386,1.45,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cccc1)cc3,sa,((sa*1))*(1/1)
C63110,3.7389261,6.062388,2.3234619,1.17,c1cc2c(cc1)c1c(cc2C#N)c2c(cc1)c1c(ccc3ccccc13)cc2,sa,((s)+(s)+(s)+(sa*1)+(sa*1))*(1/5)
C63.10,2.8284795,5.6672988,2.8388193,2.52,c12c(c(c3c(c1)cc1c(c3)ccc3c1cc1c(c3)cccc1)C#N)cccc2,sa,((sa*1))*(1/1)
C6308,3.4417929,5.8161375,2.3743446,1.78,c1cc2c(cc1)cc1c(c2)c2c(ccc(c2)C#N)c2c1c1c(cccc1)cc2,s,((s))*(1/1)
C6336,3.6513099,5.9706903,2.3193804,1.17,c1cc2c(cc1)c1c(cc2)c2c(cccc2)c2c1ccc1cc(ccc21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C666,2.9879301,5.6751897,2.6872596,2.35,c1cc2c(cc1)c1cc3cc4c(cc(c5ccccc45)C#N)cc3cc1cc2,sa,((sa*1))*(1/1)
C6246,3.7391982,5.9755881,2.2363899,1.17,c1cc2c(cc1)c1c3c4c(cccc4)ccc3c3cc(ccc3c1cc2)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6228,3.3416601,5.8215795,2.4799194,1.95,c1cc2c(cc1)c1c(cc2)c2c(ccc3cc4ccccc4cc23)cc1C#N,s,((s))*(1/1)
C444,3.7043694,5.953548,2.2491786,1.7,c12c(cc3c(c1)c1c(cc3)c(ccc1)C#N)cccc2,s,((s))*(1/1)
C6293,3.6858666,5.9527317,2.2668651,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)ccc1c2ccc2c1cccc2C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6285,3.4290042,5.6117904,2.1827862,1.78,c1cc2c(c(c1)C#N)c1cc3c(ccc4c3c3c(cccc3)cc4)cc1cc2,s,((s))*(1/1)
C6710,3.425739,5.8512384,2.4254994,1.78,c1cc2c(cc1)c1c(cc2)c2c(cc1)cc1c(cc3ccccc3c1c2)C#N,sa,((sa*1))*(1/1)
C5913,3.2252013,5.7606291,2.5354278,2.03,c12c(cc3c(c1)c1c(cc3)ccc3c1cccc3)cccc2C#N,sa,((sa*1))*(1/1)
C551,3.7201512,5.8830741,2.1629229,1.45,c1cc2c(c(c1)C#N)c1cc3c(ccc4ccccc34)cc1cc2,s,((s))*(1/1)
C6412,2.696511,5.5434933,2.8469823,2.93,c1c(cc2c(c1)cc1c(c2)cc2c(c1)c1c(cc2)c2c(cc1)cccc2)C#N,sa,((sa*1))*(1/1)
C412,4.3448928,6.4381581,2.0932653,0.5,c1cc2c(cc1)c1c(cccc1)c1c2cccc1C#N,sa,((sa*1)+(s)+(s))*(1/3)
C6332,3.6148485,5.8928697,2.2780212,1.17,c1cc2c(cc1)c1c(c(c2)C#N)c2c(cccc2)c2c1ccc1ccccc21,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C677,3.4589352,5.8985838,2.4396486,1.78,c1cc2c(cc1)c1c(cc2)c2c(cc1C#N)cc1ccc3ccccc3c1c2,sa,((sa*1))*(1/1)
C61.6,1.7028018,5.0436456,3.3408438,4.5,c1ccc2c(c1)cc1c(c2)cc2c(c1)c(c1c(c2)cc2c(c1)cccc2)C#N,sa,((sa*1))*(1/1)
C6713,3.4994781,5.8702854,2.3708073,1.78,c1cc2c(cc1)c1c(cc2)c2c(cc1)cc1ccc3cc(ccc3c1c2)C#N,s,((s))*(1/1)
C6222,3.3106407,5.8455243,2.5348836,1.95,c1cc2c(cc1)c1c(cc2)c2c(cc(c3cc4ccccc4cc23)C#N)cc1,sa,((sa*1))*(1/1)
C6344,3.8077674,6.010689,2.2029216,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cc(cc2)C#N)cc1,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6334,3.7470891,5.9666088,2.2195197,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc(cc2)C#N)c2c1ccc1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C6188,3.2197593,5.6871621,2.4674028,2.37,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cc(cc2)C#N)c2ccccc12,s,((s))*(1/1)
C685,3.3427485,5.869197,2.5264485,1.95,c1(cc2cc3c(cc2cc1)c1c(cc3)c2c(ccc3ccccc23)cc1)C#N,sa,((sa*1))*(1/1)
C51110,2.8377309,5.6354631,2.7977322,2.6,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)ccc(c1)C#N,sa,((sa*1))*(1/1)
C552,3.7487217,6.0281034,2.2793817,1.45,c1cc2c(cc1C#N)c1cc3c(ccc4ccccc34)cc1cc2,s,((s))*(1/1)
