,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C442,3.6153927,5.9720508,2.3566581,1.7,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cccc2,s,((s))*(1/1)
C563,3.7721223,6.0196683,2.247546,1.45,c1cc2cc3c(cc2cc1)c1c(cccc1)c1ccc(cc31)C#N,s,((s))*(1/1)
C431,3.9620481,6.1581672,2.1961191,1.08,c1ccc2c(c1)c1c(cc2)c2c(cc1C#N)cccc2,sa,((sa*1)+(sa*1)+(s))*(1/3)
C526,3.9136143,6.1587114,2.2450971,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)cc2C#N,sa,((sa*1)+(sa*1)+(s)+(s))*(1/4)
C6226,3.2997567,5.5581867,2.25843,1.95,c1cc2c(cc1)c1c(c(c2)C#N)c2c(ccc3cc4ccccc4cc23)cc1,s,((s))*(1/1)
C6171,3.4823358,5.9783091,2.4959733,1.37,c1cc2cc3c(cc2cc1)c1c(cccc1)c1c(c2c(cccc2)cc31)C#N,sa,((s)+(sa*1))*(1/2)
C62.3,2.2976124,5.2360203,2.9384079,3.45,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cc1c(c2)cc2c(c1)cccc2,s,((s))*(1/1)
C51114,2.7661686,5.5946481,2.8284795,2.6,c12c(cc3c(c1C#N)c1c(cc3)cccc1)cc1c(c2)cccc1,sa,((sa*1))*(1/1)
C61910,3.9244983,6.1162638,2.1917655,0.58,c1(cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1ccccc21)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
C6261,3.4105014,5.8817136,2.4712122,1.78,c1cc2c(cc1)c1c(cc2)c2cc3ccc(cc3cc2c2c1cccc2)C#N,sa,((sa*1))*(1/1)
C6224,3.3120012,5.8547757,2.5427745,1.95,c1cc2c(cc1)c1c(cc2)c2c(ccc3cc4c(cccc4cc23)C#N)cc1,sa,((sa*1))*(1/1)
C696,3.7296747,5.9845674,2.2548927,0.75,c1cc2c(cc1)c1c(c(c2)C#N)ccc2c1ccc1c2c2ccccc2cc1,sa,((s)+(s)+(s)+(sa*1)+(sa*1))*(1/5)
C684,3.2823423,5.8221237,2.5397814,1.95,c1c(c2cc3c(cc2cc1)c1c(cc3)c2c(ccc3ccccc23)cc1)C#N,sa,((sa*1))*(1/1)
C6198,3.7919856,6.0096006,2.217615,0.58,c1cc2c(cc1)c1c(c(c2)C#N)c2c(cc1)c1c(cccc1)c1ccccc21,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C523,3.8787855,6.1363992,2.2576137,1.19,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cc(cc1)C#N)cc2,sa,((sa*1)+(s)+(s)+(s))*(1/4)
C62.1,2.3147547,5.0942562,2.7795015,3.45,c12c(cc3c(c1)c1c(cc3)cccc1C#N)cc1c(c2)cc2c(c1)cccc2,s,((s))*(1/1)
C6225,3.4439697,5.7565476,2.3125779,1.95,c1cc2c(cc1C#N)c1c(cc2)c2c(ccc3cc4ccccc4cc23)cc1,s,((s))*(1/1)
C5112,2.8747365,5.5334256,2.6586891,2.6,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cc1c(c2)cccc1,s,((s))*(1/1)
C6338,3.5955294,5.8460685,2.2505391,1.17,c1cc2c(cc1)c1c(cc2)c2c(cccc2)c2c1c(cc1ccccc21)C#N,sa,((sa*1)+(sa*1)+(s)+(s)+(s))*(1/5)
C6143,3.5119947,5.793009,2.2810143,1.73,c1cc2c(cc1)cc1c(ccc3c1cc1ccc4c(cccc4C#N)c1c3)c2,s,((s)+(s))*(1/2)
C574,3.7791969,5.9764044,2.1972075,1.45,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(ccc1)C#N)cc3,s,((s))*(1/1)
